NAME,DATE,RATINGS,TITLE,REVIEWS
Casa Madera,10-12-2023,50,Fun Food and Friendly Staff!,Staff was extremely friendly and attentive - the food was delicious and atmosphere was beautiful and lively!
Casa Madera,05-12-2023,50,A great night out,Went to Casa Madera last week to celebrate a friends birthday. The duck tacos and a la roca was amazing. Nadine set us up and made sure we felt like VIPs. Highly recommend.
Casa Madera,21-10-2023,50,Insane surprise,This is a special place. People who want more than average this is delicious food in a beautiful environment. Yup expensive but I can see why shout out to the chef. If I was your mom I would be very proud
Casa Madera,14-10-2023,50,Steve @Casa,"Amazing service - Steve is so knowledgeable, personable and efficient! Fantastic food, drinks and experience. Thanks Steve!"
Casa Madera,14-10-2023,50,"10/10 experience , atmosphere and workers are great",Steve made the night with his service and is very knowledgeable with the Menu. Very happy with the Servers.
Casa Madera,06-10-2023,50,Hanna Is The Best,"Hanna was a phenomenal server, extremely attentive and professional. Went above and beyond to take care of us 5 stars."
Casa Madera,06-10-2023,50,Excellent Restaurant,"Lovely restaurant with excellent food. The wagu beef was to die for. Staff where very attentive. The only down side was the music was a little loud, however I would visit again if in Toronto"
Casa Madera,29-09-2023,50,Chill lounge vibe and great food!,"Hip and happening spot in Toronto, love the vibe and the staff is so nice! We had some if the best pulpo and dessert :) Will definitely come back!"
Casa Madera,17-09-2023,50,Best Restaurant on King West (And in TO),"Cannot say enough good things about this restaurant. The perfect vibe if you're looking for an intimate dinner, or a dinner with friends to have fun without actually going to a ""bar"" or a club. This place has the best atmosphere, amazing service (We loved...More"
Casa Madera,16-09-2023,50,Amazing experience!,"We just want to thank Roberts for such great service! He was very attentive to our table, helped explain the menu and gave us some advice on portions. The food was very quick and tasted amazing. Full of flavour! We will definitely be back :)"
Casa Madera,16-09-2023,50,Overall amazing,Great up scale restaurant with amazing service and food. Roberts the waiter was amazing and the entire experience was unforgettable
Casa Madera,10-09-2023,50,Thank you for a great time.,"Great food, great music, great vibes! And Kelly was the best! Some one give her a raise! She went above and beyond 💯."
Casa Madera,10-09-2023,50,Amazing time at Casa madera,Amazing service with Kelly and great food. Great brunch vibes. I went for my bday and it was amazing
Casa Madera,09-09-2023,50,"Amazing drinks belly dancing, amazing food",Amazing dinner amazing service Kelly was amazing. The drinks were out of this world and don’t forget the belly dancing.
Casa Madera,02-09-2023,50,Wow!! Great food and Best waiter experience ever! Roberts Rocks!!,Great dining experience in a relaxed atmosphere!! This was our first visit to the restaurant and Roberts provided suggestions for ordering which was beyond our expectations. Overall a great experience and we look forward to our next visit!!
