NAME,DATE,RATINGS,TITLE,REVIEWS
The Chase Fish and Oyster,03-03-2020,50,Excellent,"One of the best places I've been in Toronto - I say this for many Toronto restaurants - but they deserve it! Great ambience, great food. The space is flawlessly thought off. A must if you're in the area."
The Chase Fish and Oyster,28-11-2019,50,Awesome restaurant for any foodie,The cod was amazing with a side of fries and a spectacular Pinot Noir from the Willamette Valley Oregon known for its world class Pinot noirs Great service Alexandra -thank you.
The Chase Fish and Oyster,08-10-2019,40,Lunch or Dinner,"Fantastic seafood anytime of day. Knowledgeable, friendly staff, and an excellent wine selection. Still time to enjoy the patio."
The Chase Fish and Oyster,28-08-2019,50,A spot to remember,"I’ve been coming here every other month and they scored again last night. Fresh, heavenly tasty, the clam chowder was just wow. If you have a chance - try it. I’ll be back sooner this time."
The Chase Fish and Oyster,14-06-2019,50,"High end, High prices, High reward","The service was beyond compare. Our waiter was David (no last name, sorry) who rendered impeccable service. he asked about allergies, preferences he knew the menu off by heart and was able to accurately and descriptively comment on everything we asked him about. Now if...More"
The Chase Fish and Oyster,23-03-2019,50,Absolutely amazing restaurant,We really enjoyed our visit to the Chase tonight; fabulous view on the city; great service and the nicest servers you can imagine; pleasant and chic ambiance and beyond delicious 😋 food.
The Chase Fish and Oyster,15-01-2019,50,Anniversary dinner,We received a gift card for The Chase (upstairs) and decided to use it for our anniversary. The food was amazing! I highly recommend a night out there. You won't be disappointed. We will be back for sure.
The Chase Fish and Oyster,01-01-2019,20,New years special menu,"The ambiance was great, the greetings and the service was excellent. Third time at the Chase, first time on new years special menu. Somewhat disappointing, the price vs value was quite low, not really honest. It left us (my wife and daughter) with a below...More"
The Chase Fish and Oyster,21-12-2018,50,"First Class all around, great spot and fantastic service!","This restaurant is a gem specifically for seafood and shellfish, but the quality of the food is dwarfed by the fantastic service. Our server Jonker could not have been more hospitable or accommodative. Her through knowledge of the Menu and her immediate suggestion to get...More"
The Chase Fish and Oyster,19-12-2018,40,Try the Mac!!!!,"NIce place. The food was very good. If you ever visit, try the Mac n Cheese with lobster. Super good. Our waiter brought us 3 different types of oysters with our order which was a great idea. I now know I prefer New Brunswick over...More"
